BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	MTvC::__LogFC	Protocol file name	FR PTK3 DataA.230106 vREPORTDate	Fri, 06 Jan 2023 14:53:36 GMT
			Test Condition	Gr1- Medium	Gr2- LPS	Gr3- AgonistAb	Gr4- IsotypeAb
MTvC::c_cluster	ID	UniprotAccession
1.0	41_654_666	P11171		NA	-8.99863243103027e-002	0.164561435580254	0.218186855316162
1.0	ACHD_383_395	Q07001		NA	-9.04745236039162e-002	0.31267175078392	0.517961919307709
2.0	AKT1_170_182	P31749		NA	-0.130303382873535	-0.337657779455185	-0.183651283383369
5.0	AKT1_309_321_C310S	P31749		NA	-7.06815719604492e-002	0.536488711833954	0.238502189517021
4.0	AKT1_320_332	P31749		NA	-0.352806091308594	0.545545399188995	-0.25413990020752
5.0	ANXA1_14_26	P04083		NA	-1.64906177669764e-002	0.873296916484833	0.200133636593819
6.0	ANXA2_17_29	P07355		NA	-0.195623561739922	-5.24133034050465e-002	0.196823120117188
7.0	ARAF_297_307	P10398		NA	-0.180585384368896	0.142299652099609	8.78947600722313e-002
6.0	ART_004_EAIYAAPFAKKKXC	NA		NA	-0.192931815981865	-3.38074378669262e-002	0.231959342956543
3.0	B3AT_39_51	P02730		NA	-0.369317054748535	0.96642017364502	0.270229011774063
8.0	BTLA_252_262	Q7Z6A9		NA	-0.210015296936035	-0.114311061799526	9.9314846098423e-002
5.0	C1R_199_211	P00736		NA	-8.42820778489113e-002	0.26569128036499	2.71615982055664e-002
5.0	CALM_93_105	P0DP23		NA	6.31956234574318e-002	1.17844748497009	0.170027807354927
1.0	CALM_95_107	P0DP23		NA	-0.182927772402763	0.265316486358643	0.231943443417549
5.0	CBL_693_705	P22681		NA	-0.195723369717598	1.07515633106232	0.171013042330742
2.0	CD28_185_197	P10747		NA	7.81216621398926e-002	0.473367840051651	1.13630294799805e-003
8.0	CD28_203_215	P10747		NA	-0.254713207483292	-6.00271224975586e-002	6.98846206068993e-002
1.0	CD3E_182_194	P07766		NA	-4.17453460395336e-002	0.365642696619034	0.407849788665771
6.0	CD3E_193_205	P07766		NA	-0.135389804840088	4.53535728156567e-002	0.243666335940361
6.0	CD3Z_105_117	P20963		NA	-4.67538833618164e-002	-1.95178985595703e-002	0.235788986086845
1.0	CD3Z_116_128	P20963		NA	-9.67666283249855e-002	0.153561279177666	0.3929443359375
1.0	CD3Z_117_129	P20963		NA	-0.212215900421143	0.163508251309395	0.410245090723038
1.0	CD3Z_135_147	P20963		NA	-0.22979037463665	9.01598930358887e-002	0.319627285003662
6.0	CD3Z_146_158	P20963		NA	-4.44421768188477e-002	3.11772022396326e-002	0.416436523199081
2.0	CD3Z_147_159	P20963		NA	0.225364282727242	0.283804804086685	0.45378389954567
6.0	CD3Z_77_89	P20963		NA	-3.11056766659021e-002	3.19223403930664e-002	0.151366233825684
8.0	CD70_9_21_C17S	P32970		NA	-0.166243866086006	-0.13692219555378	-4.59181480109692e-002
9.0	CD79A_181_193	P11912		NA	-7.67574310302734e-002	-0.336795479059219	0.337882995605469
9.0	CDK1_9_21	P06493		NA	-0.175116062164307	-0.15289194881916	0.309203296899796
9.0	CDK2_8_20	P24941		NA	-9.86353531479836e-002	-8.99556502699852e-002	0.296523720026016
1.0	CDK4_11_23	P11802		NA	-0.106417812407017	0.123573623597622	0.354837894439697
7.0	CDK7_157_169	P50613		NA	-7.02203139662743e-002	6.28741607069969e-002	2.91385650634766e-002
1.0	CRK_214_226	P46108		NA	-8.38041305541992e-002	0.592672646045685	0.567475020885468
1.0	CTNB1_79_91	P35222		NA	-0.13806676864624	0.171786949038506	0.162602260708809
8.0	DCX_67_79	O43602		NA	-0.138301059603691	-1.53934163972735e-002	-4.81060333549976e-002
8.0	DYR1A_212_224	Q13627		NA	-0.144069984555244	-5.48671074211597e-002	3.12875919044018e-002
8.0	DYR1A_312_324	Q13627		NA	-0.249783828854561	-0.164667442440987	1.42121315002441e-002
9.0	EFS_246_258	O43281		NA	-5.06823845207691e-002	-0.217715904116631	0.120025634765625
3.0	EGFR_1103_1115	P00533		NA	-0.112131915986538	0.172617748379707	9.12946090102196e-002
2.0	EGFR_1118_1130	P00533		NA	0.343412071466446	0.846045255661011	0.68256288766861
5.0	EGFR_1165_1177	P00533		NA	-0.152422428131104	1.11421680450439	0.129076167941093
5.0	EGFR_1190_1202	P00533		NA	9.24040451645851e-002	0.993597805500031	0.411026954650879
9.0	ENOG_37_49	P09104		NA	-6.87815323472023e-002	-0.283380508422852	0.294704765081406
5.0	EPHA1_774_786	P21709		NA	-0.165281295776367	0.459640353918076	0.11245584487915
3.0	EPHA2_765_777	P29317		NA	-0.166897460818291	0.356395393610001	0.139541313052177
1.0	EPHA4_589_601	P54764		NA	2.49576568603516e-003	0.199794128537178	0.462180763483047
3.0	EPHA7_607_619	Q15375		NA	-9.6893310546875e-002	0.504104316234589	0.198608875274658
3.0	EPHB1_771_783	P54762		NA	-8.81080627441406e-002	0.428841263055801	0.269307464361191
8.0	EPHB1_921_933	P54762		NA	-0.280043125152588	-6.4186729490757e-002	-7.9706110060215e-002
6.0	EPHB4_583_595	P54760		NA	-0.145772933959961	2.33394298702478e-002	0.295673042535782
1.0	EPOR_361_373	P19235		NA	9.83603820204735e-002	0.326666682958603	0.356876701116562
5.0	EPOR_419_431	P19235		NA	-0.158281162381172	0.847052395343781	0.379856735467911
1.0	ERBB2_1241_1253	P04626		NA	-0.264169216156006	0.798352897167206	0.802511692047119
5.0	ERBB2_870_882	P04626		NA	-5.46127967536449e-002	1.19419193267822	0.211108848452568
5.0	ERBB3_1283_1295	P21860		NA	0.171837255358696	1.44669950008392	0.412626355886459
5.0	ERBB4_1181_1193	Q15303		NA	0.103188514709473	1.84396207332611	0.659582793712616
5.0	ERBB4_1277_1289	Q15303		NA	-0.391873270273209	1.28903925418854	0.361333221197128
4.0	FABPH_13_25	P05413		NA	-0.71391773223877	1.29300689697266	-8.97622928023338e-002
1.0	FAK1_569_581	Q05397		NA	-0.183758571743965	0.220718860626221	0.286825507879257
5.0	FAK2_572_584	Q14289		NA	-5.84424324333668e-002	0.667736351490021	9.92167815566063e-002
1.0	FER_707_719	P16591		NA	-6.95387497544289e-002	0.22361595928669	0.278424590826035
