BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	MTvC::__pvalue.treatment	Protocol file name	FR PTK-4 Data analysis 230217 REPORTDate	Fri, 17 Feb 2023 10:12:52 GMT
			Test Condition	Gr1- Medium	Gr2- LPS	Gr3- AgonistAb	Gr4- IsotypeAb
MTvC::c_cluster	ID	UniprotAccession
7.0	41_654_666	P11171		NA	0.268585920333862	4.69094794243574e-003	0.223926231265068
1.0	ACHD_383_395	Q07001		NA	0.780783295631409	3.3879742026329e-002	0.858431696891785
1.0	AKT1_309_321_C310S	P31749		NA	0.162210792303085	4.76521207019687e-004	0.173109501600266
2.0	AKT1_320_332	P31749		NA	6.45895376801491e-002	0.440958112478256	0.741194903850555
3.0	ANXA1_14_26	P04083		NA	3.24974535033107e-003	2.30574831366539e-002	7.29111060500145e-002
4.0	ANXA2_17_29	P07355		NA	0.51492315530777	1.79663984454237e-004	0.896477103233337
3.0	ARAF_297_307	P10398		NA	0.866472125053406	0.771055102348328	0.6969935297966
4.0	ART_004_EAIYAAPFAKKKXC	NA		NA	0.731557250022888	2.43434929871e-004	5.15765696763992e-002
5.0	B3AT_39_51	P02730		NA	0.116204462945461	0.799451768398285	0.14548847079277
1.0	BTLA_252_262	Q7Z6A9		NA	0.190156206488609	1.46462023258209e-002	0.489384233951569
6.0	C1R_199_211	P00736		NA	0.762586176395416	0.226188242435455	0.448873579502106
6.0	CALM_93_105	P0DP23		NA	0.437994718551636	7.54108801484108e-002	0.720973014831543
2.0	CALM_95_107	P0DP23		NA	0.568865478038788	0.684552490711212	0.794830679893494
3.0	CBL_693_705	P22681		NA	3.91579605638981e-002	3.43397930264473e-002	0.412960141897202
4.0	CD28_185_197	P10747		NA	0.235784709453583	1.7101040109992e-002	0.849327266216278
5.0	CD28_203_215	P10747		NA	5.08843176066875e-003	0.219946727156639	6.55395239591599e-002
1.0	CD3E_182_194	P07766		NA	9.344432502985e-002	5.60934458917473e-005	0.666033685207367
7.0	CD3E_193_205	P07766		NA	7.63674154877663e-002	4.19443054124713e-003	6.4838245511055e-002
1.0	CD3Z_105_117	P20963		NA	0.200561434030533	1.07557556475513e-004	0.595287144184113
7.0	CD3Z_116_128	P20963		NA	9.72968637943268e-002	1.16743125545327e-004	0.175862044095993
7.0	CD3Z_117_129	P20963		NA	4.81699220836163e-003	2.853038131434e-005	7.09737613797188e-002
1.0	CD3Z_135_147	P20963		NA	0.428154349327087	1.91078651696444e-002	0.717717945575714
7.0	CD3Z_146_158	P20963		NA	1.44793018698692e-002	4.38285991549492e-003	0.148206800222397
7.0	CD3Z_147_159	P20963		NA	3.64994183182716e-002	7.81034491956234e-003	0.37723383307457
4.0	CD3Z_77_89	P20963		NA	0.12969097495079	9.79485866992036e-006	0.365128219127655
4.0	CD70_9_21_C17S	P32970		NA	0.224451586604118	2.4077108129859e-002	0.479703038930893
1.0	CD79A_181_193	P11912		NA	0.538694202899933	1.68570222740527e-005	0.414401203393936
1.0	CDK1_9_21	P06493		NA	9.90653336048126e-002	3.02149510389427e-006	0.325831532478333
1.0	CDK2_8_20	P24941		NA	0.233127534389496	2.91107044176897e-005	0.299327969551086
1.0	CDK4_11_23	P11802		NA	0.168731316924095	7.7236577635631e-004	0.683784484863281
1.0	CDK7_157_169	P50613		NA	0.902557849884033	0.352975279092789	0.970238327980042
1.0	CRK_214_226	P46108		NA	0.21010234951973	1.80623820051551e-003	0.884930312633514
7.0	CTNB1_79_91	P35222		NA	8.2077294588089e-002	2.223558165133e-002	0.184555202722549
4.0	DCX_67_79	O43602		NA	0.979988932609558	6.48645125329494e-003	0.444552958011627
5.0	DYR1A_212_224	Q13627		NA	3.51056642830372e-002	0.591966152191162	0.30541130900383
8.0	DYR1A_312_324	Q13627		NA	0.963150143623352	1.48739144206047e-002	0.201422363519669
8.0	EFS_246_258	O43281		NA	0.495672196149826	7.7808799687773e-006	0.452708154916763
3.0	EGFR_1103_1115	P00533		NA	0.206017777323723	0.121012926101685	0.36910006403923
8.0	EGFR_1118_1130	P00533		NA	0.528197824954987	0.419657826423645	0.990465521812439
3.0	EGFR_1165_1177	P00533		NA	1.45662957802415e-002	6.7128068767488e-003	0.136083513498306
7.0	EGFR_1190_1202	P00533		NA	6.90347775816917e-002	6.14812113344669e-002	5.24039939045906e-002
1.0	ENOG_37_49	P09104		NA	0.428853720426559	7.95892083260696e-006	0.803524911403656
5.0	EPHA1_774_786	P21709		NA	1.6917971894145e-002	0.283143073320389	0.239023253321648
5.0	EPHA2_765_777	P29317		NA	2.06064246594906e-002	0.201193884015083	0.232229888439178
5.0	EPHA4_589_601	P54764		NA	9.32595804333687e-002	0.812022566795349	0.221380576491356
1.0	EPHA7_607_619	Q15375		NA	0.121589951217175	1.56731456518173e-002	0.560787200927734
7.0	EPHB1_771_783	P54762		NA	6.58262670040131e-002	2.84644532948732e-002	0.231117233633995
6.0	EPHB1_921_933	P54762		NA	0.142864406108856	8.49389564245939e-003	0.380153685808182
5.0	EPHB4_583_595	P54760		NA	0.188046529889107	0.513037800788879	0.29018959403038
1.0	EPOR_361_373	P19235		NA	9.27188545465469e-002	6.18465765001019e-006	0.455156624317169
7.0	EPOR_419_431	P19235		NA	6.23072274029255e-002	5.14827808365226e-003	0.492827326059341
1.0	ERBB2_1241_1253	P04626		NA	0.293513029813766	1.12997004762292e-002	0.78207141160965
3.0	ERBB2_870_882	P04626		NA	2.64029484242201e-002	2.50449329614639e-002	0.420071572065353
3.0	ERBB3_1283_1295	P21860		NA	0.541177749633789	0.308929473161697	0.368054419755936
5.0	ERBB4_1181_1193	Q15303		NA	2.60130558162928e-002	0.710242092609406	0.354649066925049
3.0	ERBB4_1277_1289	Q15303		NA	1.33300041779876e-002	6.23532459139824e-002	0.233127057552338
5.0	FABPH_13_25	P05413		NA	0.661246478557587	0.888172686100006	0.77423894405365
5.0	FAK1_569_581	Q05397		NA	1.00017208606005e-002	0.157023996114731	2.14354917407036e-002
7.0	FAK2_572_584	Q14289		NA	0.167099222540855	0.325021892786026	0.394861489534378
1.0	FER_707_719	P16591		NA	0.278355270624161	1.3194908387959e-004	0.692919850349426
7.0	FES_706_718	P07332		NA	0.184027209877968	1.94300105795264e-003	0.268331199884415
8.0	FGFR1_761_773	P11362		NA	0.655185222625732	3.96455861628056e-002	0.412434726953506
