BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	MTvC::__LogFC	Protocol file name	FR PTK-4 Data analysis 230217 REPORTDate	Fri, 17 Feb 2023 10:12:51 GMT
			Test Condition	Gr1- Medium	Gr2- LPS	Gr3- AgonistAb	Gr4- IsotypeAb
MTvC::c_cluster	ID	UniprotAccession
7.0	41_654_666	P11171		NA	-0.10312557220459	0.336353302001953	-0.114345550537109
1.0	ACHD_383_395	Q07001		NA	-5.59903793036938e-002	0.497102588415146	3.58322449028492e-002
1.0	AKT1_309_321_C310S	P31749		NA	-7.83019065856934e-002	0.287791877985001	-7.60644301772118e-002
2.0	AKT1_320_332	P31749		NA	-0.272753715515137	0.103244937956333	4.35460396111012e-002
3.0	ANXA1_14_26	P04083		NA	-0.327418178319931	-0.221710041165352	-0.163198634982109
4.0	ANXA2_17_29	P07355		NA	7.04058036208153e-002	0.676237404346466	1.38796167448163e-002
3.0	ARAF_297_307	P10398		NA	-1.16860074922442e-002	-2.02620830386877e-002	-2.71727237850428e-002
4.0	ART_004_EAIYAAPFAKKKXC	NA		NA	2.15450916439295e-002	0.379525512456894	-0.138631820678711
5.0	B3AT_39_51	P02730		NA	-0.248722240328789	3.70898246765137e-002	-0.227719783782959
1.0	BTLA_252_262	Q7Z6A9		NA	-0.114670433104038	0.248387023806572	-5.80364875495434e-002
6.0	C1R_199_211	P00736		NA	4.02441024780273e-002	-0.168803378939629	-0.102511562407017
6.0	CALM_93_105	P0DP23		NA	0.17332823574543	-0.43367400765419	7.85740241408348e-002
2.0	CALM_95_107	P0DP23		NA	-3.7017822265625e-002	2.62578334659338e-002	1.67535152286291e-002
3.0	CBL_693_705	P22681		NA	-0.430555492639542	-0.445289760828018	-0.150984451174736
4.0	CD28_185_197	P10747		NA	9.96979102492332e-002	0.233236789703369	1.52613325044513e-002
5.0	CD28_203_215	P10747		NA	-0.236352607607841	8.23334082961082e-002	-0.131935432553291
1.0	CD3E_182_194	P07766		NA	-0.183653354644775	0.745326340198517	-4.32214736938477e-002
7.0	CD3E_193_205	P07766		NA	-0.119523368775845	0.232512310147285	-0.125708743929863
1.0	CD3Z_105_117	P20963		NA	-9.23166275024414e-002	0.46634578704834	-3.66077423095703e-002
7.0	CD3Z_116_128	P20963		NA	-0.173379898071289	0.643159210681915	-0.137136459350586
7.0	CD3Z_117_129	P20963		NA	-0.291806071996689	0.64160281419754	-0.157387733459473
1.0	CD3Z_135_147	P20963		NA	-0.108791351318359	0.381434440612793	-4.88244704902172e-002
7.0	CD3Z_146_158	P20963		NA	-0.413589149713516	0.522331416606903	-0.212920352816582
7.0	CD3Z_147_159	P20963		NA	-0.386506706476212	0.543001174926758	-0.144080325961113
4.0	CD3Z_77_89	P20963		NA	0.116935729980469	0.679165065288544	6.6469669342041e-002
4.0	CD70_9_21_C17S	P32970		NA	5.96849136054516e-002	0.125841930508614	3.36062125861645e-002
1.0	CD79A_181_193	P11912		NA	-4.02634926140308e-002	0.571554839611053	-5.39671592414379e-002
1.0	CDK1_9_21	P06493		NA	-0.10713354498148	0.65868216753006	-6.01053237915039e-002
1.0	CDK2_8_20	P24941		NA	-0.108928360044956	0.714522063732147	-9.37207564711571e-002
1.0	CDK4_11_23	P11802		NA	-0.169869899749756	0.589605629444122	-4.74354438483715e-002
1.0	CDK7_157_169	P50613		NA	-2.01592445373535e-002	0.157305404543877	-6.14055013284087e-003
1.0	CRK_214_226	P46108		NA	-9.53483581542969e-002	0.320342540740967	-1.04541778564453e-002
7.0	CTNB1_79_91	P35222		NA	-0.115334190428257	0.164070919156075	-8.42568054795265e-002
4.0	DCX_67_79	O43602		NA	1.24613440129906e-003	0.175806999206543	-3.87234687805176e-002
5.0	DYR1A_212_224	Q13627		NA	-0.437204360961914	9.63616371154785e-002	-0.189009502530098
8.0	DYR1A_312_324	Q13627		NA	2.86610913462937e-003	0.185836479067802	8.36930274963379e-002
8.0	EFS_246_258	O43281		NA	-6.03434257209301e-002	0.855339705944061	6.67279586195946e-002
3.0	EGFR_1103_1115	P00533		NA	-9.54821929335594e-002	-0.120346702635288	-6.60266876220703e-002
8.0	EGFR_1118_1130	P00533		NA	-8.09513702988625e-002	0.104448474943638	1.51364004705101e-003
3.0	EGFR_1165_1177	P00533		NA	-0.456245094537735	-0.533053874969482	-0.24353551864624
7.0	EGFR_1190_1202	P00533		NA	-0.242409393191338	0.251003265380859	-0.262829780578613
1.0	ENOG_37_49	P09104		NA	-5.79608269035816e-002	0.701582252979279	-1.78890228271484e-002
5.0	EPHA1_774_786	P21709		NA	-0.31645393371582	0.121126174926758	-0.133935615420341
5.0	EPHA2_765_777	P29317		NA	-0.317815780639648	0.15384928882122	-0.142791107296944
5.0	EPHA4_589_601	P54764		NA	-0.177923679351807	2.29587554931641e-002	-0.123871646821499
1.0	EPHA7_607_619	Q15375		NA	-0.184148475527763	0.325016349554062	-6.45345076918602e-002
7.0	EPHB1_771_783	P54762		NA	-0.211996391415596	0.265551567077637	-0.129007652401924
6.0	EPHB1_921_933	P54762		NA	-0.347222656011581	-0.740677535533905	-0.198493480682373
5.0	EPHB4_583_595	P54760		NA	-0.20784854888916	9.88451614975929e-002	-0.163567066192627
1.0	EPOR_361_373	P19235		NA	-0.133359268307686	0.728878796100616	5.48367500305176e-002
7.0	EPOR_419_431	P19235		NA	-0.273410469293594	0.481410831212997	-9.07541885972023e-002
1.0	ERBB2_1241_1253	P04626		NA	-0.135247066617012	0.393787860870361	3.44181060791016e-002
3.0	ERBB2_870_882	P04626		NA	-0.411254554986954	-0.416424751281738	-0.128685474395752
3.0	ERBB3_1283_1295	P21860		NA	-0.133719921112061	-0.227639988064766	-0.199872016906738
5.0	ERBB4_1181_1193	Q15303		NA	-0.432173252105713	-6.10472373664379e-002	-0.155766174197197
3.0	ERBB4_1277_1289	Q15303		NA	-0.732702076435089	-0.501359760761261	-0.298777103424072
5.0	FABPH_13_25	P05413		NA	-0.228107765316963	-7.27856978774071e-002	-0.148776456713676
5.0	FAK1_569_581	Q05397		NA	-0.264075756072998	0.122899375855923	-0.224412441253662
7.0	FAK2_572_584	Q14289		NA	-0.118308387696743	8.16361084580421e-002	-6.99987411499023e-002
1.0	FER_707_719	P16591		NA	-7.46444091200829e-002	0.439200401306152	-2.62832641601563e-002
