Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P43403	ZAP70	TK	Syk	2.1731484754668	1.84830582453344	4.02145430000024	4.14266750356873	-0.748725105206842	-0.739665938137191	0.0185720833397045	66.5555555555556
P52333	JAK3	TK	JakA	1.29798928640017	2.24572764366406	3.54371693006423	3.47366072261016	-1.0197087442064	-1.00605147709637	0.0161955265053686	4.55555555555556
Q02750	MEK1/MAP2K1	STE	STE7	1.81708691322955	1.64984802674956	3.46693493997911	3.40230481407449	-1.05971200413814	-1.05971200413814	0	6
P42680	TEC	TK	Tec	2.01743730426885	1.45559232027122	3.47302962454007	3.36451625318509	-0.80755890418451	-0.778881726124975	0.0606432203430216	38.6666666666667
P45985	SEK1/MAP2K4	STE	STE7	1.51363631222392	1.79394514184876	3.30758145407268	3.2518119729938	-0.973568132692602	-0.973568132692602	0	7
Q15375	EphA7	TK	Eph	1.69897000433602	1.49485002168009	3.19382002601611	3.19382002601611	-1.15708216542203	-1.15708216542203	NA	3
P07949	Ret	TK	Ret	1.45157579105305	1.68554062472204	3.13711641577509	3.18045606445813	-0.825288332042212	-0.806178004094157	0.0552629894216638	20
Q13882	Brk	TK	Src	1.33149948749578	1.86605036262983	3.19754985012561	3.15242734085789	-0.715705335069851	-0.706084045029456	0.0387652509162305	74
P29323	EphB2	TK	Eph	1.52495354914965	1.57386523600263	3.09881878515229	3.14266750356873	-1.15708216542203	-1.15708216542203	0	3
P46734	MKK3/MAP2K3	STE	STE7	1.33616360719819	1.79394514184876	3.13010874904695	3.09691001300806	-0.992150606035041	-0.992150606035041	0	5
P52564	MKK6/MAP2K6	STE	STE7	1.33616360719819	1.79394514184876	3.13010874904695	3.09691001300806	-0.992150606035041	-0.992150606035041	0	5
P54753	EphB3	TK	Eph	1.57133375178437	1.52384599516894	3.0951797469533	3.0951797469533	-1.15708216542203	-1.15708216542203	0	3
O14733	MAP2K7	STE	STE7	1.46430867285017	1.62378081773296	3.08808949058312	3.05354773498693	-0.991992896877658	-0.991992896877658	0	6
P43405	Syk	TK	Syk	1.22997698783277	1.78838702881472	3.01836401664749	2.93854752091281	-0.704406890787272	-0.702475607230869	0.01741674917415	77.4444444444444
O95382	MEKK6/MAP3K6	STE	STE11	1.15980319917877	1.79394514184876	2.95374834102753	2.87549577516572	-0.993975864127337	-0.993975864127337	0	4
Q99683	ASK/MAP3K5	STE	STE11	1.15980319917877	1.79394514184876	2.95374834102753	2.87549577516572	-0.993975864127337	-0.993975864127337	0	4
Q04912	Ron	TK	Met	1.17903078215446	1.36270660160882	2.54173738376328	2.6903698325741	-0.876358499682933	-0.890916793539183	0.0875405500277921	8.22222222222222
P06241	Fyn	TK	Src	1.26555040276478	1.54243211022311	2.80798251298789	2.64975198166584	-0.778253602673138	-0.77508439579314	0.0338628107106681	24.2222222222222
P42681	TXK	TK	Tec	1.3027366015837	1.426266420481	2.7290030220647	2.62561830194912	-0.789888378026651	-0.797286632253525	0.0593360404399137	26.2222222222222
O60674	JAK2	TK	JakA	0.778852478364906	1.66476471054457	2.44361718890948	2.60835929650761	-0.736918712405029	-0.75279873215011	0.0444659585875427	18.7777777777778
P07947	Yes	TK	Src	0.968371194477099	1.51743001235001	2.48580120682711	2.60554831917378	-0.746214669108243	-0.766469947869416	0.0445156858903055	25.2222222222222
P54762	EphB1	TK	Eph	0.997198276365159	1.57386523600263	2.57106351236779	2.57839607313017	-0.945157734944382	-0.945157734944382	0	4
P29317	EphA2	TK	Eph	1.11751250917843	1.5252081765872	2.64272068576563	2.57381417475549	-0.953364121050782	-0.914181181800254	0.0829075486111501	5.11111111111111
P42685	FRK	TK	Src	1.03047222233877	1.38561692086693	2.4160891432057	2.51144928349956	-0.725266145375713	-0.729222800141464	0.0175033455149712	45.1111111111111
Q06187	BTK	TK	Tec	0.624345380312907	1.69135698928429	2.3157023695972	2.44177157819667	-0.731481848918747	-0.739101636896161	0.0530262835953893	16
Q9H3Y6	Srm	TK	Src	0.727536850995078	1.52002252840317	2.24755937939825	2.43889861635094	-0.699527420454092	-0.712793950408766	0.0372373942930444	38
P54756	EphA5	TK	Eph	0.88553444087018	1.36482705548979	2.25036149635997	2.35947276623245	-0.867943185926836	-0.900978796597367	0.114329094876667	4
Q14289	FAK2	TK	Fak	0.645617590743775	1.63598914997434	2.28160674071811	2.34332695411515	-0.70379122811653	-0.693173522076331	0.0313719642310347	35.1111111111111
P42679	CTK	TK	Csk	0.560275710584419	1.75729361808205	2.31756932866647	2.28533500713746	-0.693337138011703	-0.689878227054044	0.0406286698452132	31.4444444444444
P21860	HER3	TK	EGFR	0.462929737698836	1.83571688795608	2.29864662565492	2.26728465965001	-0.664666426789269	-0.668845977883456	0.0160795689177138	51.4444444444444
P12931	Src	TK	Src	0.699435524782447	1.52118124252849	2.22061676731094	2.2518119729938	-0.689917720844999	-0.69032855937882	0.0108648439034939	45.8888888888889
P29376	LTK	TK	Alk	0.487801488179702	1.79384447055447	2.28164595873417	2.18742200278061	-0.690218613178547	-0.678893132287016	0.109884306515622	19.875
P35968	KDR	TK	VEGFR	0.636438235687571	1.48915945196193	2.1255976876495	2.18071935302752	-0.721236370974888	-0.721351838119226	0.0368027027083211	19.5555555555556
P30530	Axl	TK	Axl	0.396472636064825	1.55723749056202	1.95371012662684	2.16039627052916	-0.646416893752808	-0.650447196042857	0.0283657085154977	63
P36888	FLT3	TK	PDGFR	0.6598586263663	1.44932870670403	2.10918733307033	2.14288958983403	-0.784415800515112	-0.785602449985091	0.0894281730971978	10.625
Q08881	ITK	TK	Tec	0.504694578177136	1.6076226468203	2.11231722499744	2.09517630019906	-0.672301932016854	-0.669070814566694	0.0327935075865978	39.3333333333333
P11362	FGFR1	TK	FGFR	0.375087212774943	1.63434830932965	2.00943552210459	2.00383870663199	-0.66269679248398	-0.679534806754844	0.03308401531814	15.3333333333333
P04626	HER2	TK	EGFR	0.218912505424413	1.75565948791071	1.97457199333512	1.99895894201391	-0.61543528656771	-0.607391987896245	0.0511447867451629	38.2222222222222
Q9UM73	ALK	TK	Alk	0.391340513381009	1.53949685169737	1.93083736507838	1.9888526392242	-0.656213391351435	-0.649285434941607	0.0398380600338655	48.7777777777778
P08581	Met	TK	Met	0.529672634416964	1.41857297003817	1.94824560445514	1.9743664889393	-0.679889591277808	-0.679684404495818	0.0281254713979674	29.8888888888889
P07332	Fes	TK	Fer	0.343162958668354	1.46279504224319	1.80595800091155	1.96851074429025	-0.649868493264334	-0.669149132999033	0.0684660906483653	11.2222222222222
P09619	PDGFR[beta]	TK	PDGFR	0.399442745507386	1.58284292627072	1.9822856717781	1.94401041661431	-0.669085454221406	-0.6619314659073	0.0277086926393586	17.3333333333333
J3KPB5	EphA10	TK	Eph	0.707024458136232	1.2219009743425	1.92892543247874	1.93348780047301	-0.865985417043536	-0.865985417043536	0	3
P08631	HCK	TK	Src	0.602310151961346	1.25693409874215	1.85924425070349	1.87942606879415	-0.703263339264058	-0.7000276175082	0.0226823767456261	22
P08922	Ros	TK	Sev	0.211494200088124	1.66157286238908	1.87306706247721	1.84882137299368	-0.578916220648961	-0.566563902086643	0.0247046371246352	5.25
Q05397	FAK1	TK	Fak	0.316600878717675	1.63371099947883	1.95031187819651	1.84783400932444	-0.638818248239637	-0.640247826527602	0.0308466560231747	45.6666666666667
P41240	CSK	TK	Csk	0.149578606041615	1.54178108025063	1.69135968629224	1.73471037413917	-0.605731353762443	-0.6122652200649	0.0309047639817373	45.3333333333333
P23458	JAK1~b	TK	JakA	0.47013492179767	1.17472756238159	1.64486248417926	1.70490392549313	-0.721715002235597	-0.743101312248461	0.0427726200257285	5.5
P21709	EphA1	TK	Eph	0.4387020377676	1.24796855866065	1.68667059642825	1.68667059642825	-0.723414849721451	-0.723414849721451	0.0720178002229176	4
P54764	EphA4	TK	Eph	0.257467014228471	1.39087690898206	1.64834392321053	1.64115180990392	-0.616641634217772	-0.616641634217772	0	3
Q06418	Tyro3/Sky	TK	Axl	0.332992978342734	1.3115192643304	1.64451224267313	1.63857438701611	-0.651514346070012	-0.65340361893141	0.0186341621362579	47
