"FitApply..Test Condition","FitApply..ID","MTVC.gs0.variable","MTVC.gs0.value"
"Control","CDK2_8_20","MTVC.ds50.pvalue.treatment",
"Control","CDK2_8_20","MTVC.ds50.pvalue.treatment",
"Control","CDK4_11_23","MTVC.ds50.LogFC",
"Control","CDK4_11_23","MTVC.ds50.LogFC",
"Control","CDK4_11_23","MTVC.ds50.LogFC",
"Control","CDK4_11_23","MTVC.ds50.LogFC",
"Control","CDK4_11_23","MTVC.ds50.LogFC",
"Control","CDK4_11_23","MTVC.ds50.LogFC",
"Control","CDK4_11_23","MTVC.ds50.pvalue.treatment",
"Control","CDK4_11_23","MTVC.ds50.pvalue.treatment",
"Control","CDK4_11_23","MTVC.ds50.pvalue.treatment",
"Control","CDK4_11_23","MTVC.ds50.pvalue.treatment",
"Control","CDK4_11_23","MTVC.ds50.pvalue.treatment",
"Control","CDK4_11_23","MTVC.ds50.pvalue.treatment",
"Control","CDK7_157_169","MTVC.ds50.LogFC",
"Control","CDK7_157_169","MTVC.ds50.LogFC",
"Control","CDK7_157_169","MTVC.ds50.LogFC",
"Control","CDK7_157_169","MTVC.ds50.LogFC",
"Control","CDK7_157_169","MTVC.ds50.LogFC",
"Control","CDK7_157_169","MTVC.ds50.LogFC",
"Control","CDK7_157_169","MTVC.ds50.pvalue.treatment",
"Control","CDK7_157_169","MTVC.ds50.pvalue.treatment",
"Control","CDK7_157_169","MTVC.ds50.pvalue.treatment",
"Control","CDK7_157_169","MTVC.ds50.pvalue.treatment",
"Control","CDK7_157_169","MTVC.ds50.pvalue.treatment",
"Control","CDK7_157_169","MTVC.ds50.pvalue.treatment",
"Control","CTNB1_79_91","MTVC.ds50.LogFC",
"Control","CTNB1_79_91","MTVC.ds50.LogFC",
"Control","CTNB1_79_91","MTVC.ds50.LogFC",
"Control","CTNB1_79_91","MTVC.ds50.LogFC",
"Control","CTNB1_79_91","MTVC.ds50.LogFC",
"Control","CTNB1_79_91","MTVC.ds50.LogFC",
"Control","CTNB1_79_91","MTVC.ds50.pvalue.treatment",
"Control","CTNB1_79_91","MTVC.ds50.pvalue.treatment",
"Control","CTNB1_79_91","MTVC.ds50.pvalue.treatment",
"Control","CTNB1_79_91","MTVC.ds50.pvalue.treatment",
"Control","CTNB1_79_91","MTVC.ds50.pvalue.treatment",
"Control","CTNB1_79_91","MTVC.ds50.pvalue.treatment",
"Control","DCX_67_79","MTVC.ds50.LogFC",
"Control","DCX_67_79","MTVC.ds50.LogFC",
"Control","DCX_67_79","MTVC.ds50.LogFC",
"Control","DCX_67_79","MTVC.ds50.LogFC",
"Control","DCX_67_79","MTVC.ds50.LogFC",
"Control","DCX_67_79","MTVC.ds50.LogFC",
"Control","DCX_67_79","MTVC.ds50.pvalue.treatment",
"Control","DCX_67_79","MTVC.ds50.pvalue.treatment",
"Control","DCX_67_79","MTVC.ds50.pvalue.treatment",
"Control","DCX_67_79","MTVC.ds50.pvalue.treatment",
"Control","DCX_67_79","MTVC.ds50.pvalue.treatment",
"Control","DCX_67_79","MTVC.ds50.pvalue.treatment",
"Control","DDR1_506_518","MTVC.ds50.LogFC",
"Control","DDR1_506_518","MTVC.ds50.LogFC",
"Control","DDR1_506_518","MTVC.ds50.LogFC",
"Control","DDR1_506_518","MTVC.ds50.LogFC",
"Control","DDR1_506_518","MTVC.ds50.LogFC",
"Control","DDR1_506_518","MTVC.ds50.LogFC",
"Control","DDR1_506_518","MTVC.ds50.pvalue.treatment",
"Control","DDR1_506_518","MTVC.ds50.pvalue.treatment",
"Control","DDR1_506_518","MTVC.ds50.pvalue.treatment",
"Control","DDR1_506_518","MTVC.ds50.pvalue.treatment",
"Control","DDR1_506_518","MTVC.ds50.pvalue.treatment",
"Control","DDR1_506_518","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_212_224","MTVC.ds50.LogFC",
"Control","DYR1A_212_224","MTVC.ds50.LogFC",
"Control","DYR1A_212_224","MTVC.ds50.LogFC",
"Control","DYR1A_212_224","MTVC.ds50.LogFC",
"Control","DYR1A_212_224","MTVC.ds50.LogFC",
"Control","DYR1A_212_224","MTVC.ds50.LogFC",
"Control","DYR1A_212_224","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_212_224","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_212_224","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_212_224","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_212_224","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_212_224","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_312_324","MTVC.ds50.LogFC",
"Control","DYR1A_312_324","MTVC.ds50.LogFC",
"Control","DYR1A_312_324","MTVC.ds50.LogFC",
"Control","DYR1A_312_324","MTVC.ds50.LogFC",
"Control","DYR1A_312_324","MTVC.ds50.LogFC",
"Control","DYR1A_312_324","MTVC.ds50.LogFC",
"Control","DYR1A_312_324","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_312_324","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_312_324","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_312_324","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_312_324","MTVC.ds50.pvalue.treatment",
"Control","DYR1A_312_324","MTVC.ds50.pvalue.treatment",
"Control","EFS_246_258","MTVC.ds50.LogFC",
"Control","EFS_246_258","MTVC.ds50.LogFC",
"Control","EFS_246_258","MTVC.ds50.LogFC",
"Control","EFS_246_258","MTVC.ds50.LogFC",
"Control","EFS_246_258","MTVC.ds50.LogFC",
"Control","EFS_246_258","MTVC.ds50.LogFC",
"Control","EFS_246_258","MTVC.ds50.pvalue.treatment",
"Control","EFS_246_258","MTVC.ds50.pvalue.treatment",
"Control","EFS_246_258","MTVC.ds50.pvalue.treatment",
"Control","EFS_246_258","MTVC.ds50.pvalue.treatment",
"Control","EFS_246_258","MTVC.ds50.pvalue.treatment",
"Control","EFS_246_258","MTVC.ds50.pvalue.treatment",
"Control","EGFR_1103_1115","MTVC.ds50.LogFC",
"Control","EGFR_1103_1115","MTVC.ds50.LogFC",
"Control","EGFR_1103_1115","MTVC.ds50.LogFC",
"Control","EGFR_1103_1115","MTVC.ds50.LogFC",
"Control","EGFR_1103_1115","MTVC.ds50.LogFC",
"Control","EGFR_1103_1115","MTVC.ds50.LogFC",
"Control","EGFR_1103_1115","MTVC.ds50.pvalue.treatment",
"Control","EGFR_1103_1115","MTVC.ds50.pvalue.treatment",
"Control","EGFR_1103_1115","MTVC.ds50.pvalue.treatment",
"Control","EGFR_1103_1115","MTVC.ds50.pvalue.treatment",
"Control","EGFR_1103_1115","MTVC.ds50.pvalue.treatment",
"Control","EGFR_1103_1115","MTVC.ds50.pvalue.treatment",
"Control","ENOG_37_49","MTVC.ds50.LogFC",
"Control","ENOG_37_49","MTVC.ds50.LogFC",
"Control","ENOG_37_49","MTVC.ds50.LogFC",
"Control","ENOG_37_49","MTVC.ds50.LogFC",
"Control","ENOG_37_49","MTVC.ds50.LogFC",
"Control","ENOG_37_49","MTVC.ds50.LogFC",
"Control","ENOG_37_49","MTVC.ds50.pvalue.treatment",
"Control","ENOG_37_49","MTVC.ds50.pvalue.treatment",
"Control","ENOG_37_49","MTVC.ds50.pvalue.treatment",
"Control","ENOG_37_49","MTVC.ds50.pvalue.treatment",
"Control","ENOG_37_49","MTVC.ds50.pvalue.treatment",
"Control","ENOG_37_49","MTVC.ds50.pvalue.treatment",
"Control","EPHA1_774_786","MTVC.ds50.LogFC",
"Control","EPHA1_774_786","MTVC.ds50.LogFC",
"Control","EPHA1_774_786","MTVC.ds50.LogFC",
"Control","EPHA1_774_786","MTVC.ds50.LogFC",
"Control","EPHA1_774_786","MTVC.ds50.LogFC",
"Control","EPHA1_774_786","MTVC.ds50.LogFC",
"Control","EPHA1_774_786","MTVC.ds50.pvalue.treatment",
"Control","EPHA1_774_786","MTVC.ds50.pvalue.treatment",
"Control","EPHA1_774_786","MTVC.ds50.pvalue.treatment",
"Control","EPHA1_774_786","MTVC.ds50.pvalue.treatment",
"Control","EPHA1_774_786","MTVC.ds50.pvalue.treatment",
"Control","EPHA1_774_786","MTVC.ds50.pvalue.treatment",
"Control","EPHA2_765_777","MTVC.ds50.LogFC",
"Control","EPHA2_765_777","MTVC.ds50.LogFC",
"Control","EPHA2_765_777","MTVC.ds50.LogFC",
"Control","EPHA2_765_777","MTVC.ds50.LogFC",
"Control","EPHA2_765_777","MTVC.ds50.LogFC",
"Control","EPHA2_765_777","MTVC.ds50.LogFC",
"Control","EPHA2_765_777","MTVC.ds50.pvalue.treatment",
"Control","EPHA2_765_777","MTVC.ds50.pvalue.treatment",
"Control","EPHA2_765_777","MTVC.ds50.pvalue.treatment",
"Control","EPHA2_765_777","MTVC.ds50.pvalue.treatment",
"Control","EPHA2_765_777","MTVC.ds50.pvalue.treatment",
"Control","EPHA2_765_777","MTVC.ds50.pvalue.treatment",
"Control","EPHA4_589_601","MTVC.ds50.LogFC",
"Control","EPHA4_589_601","MTVC.ds50.LogFC",
"Control","EPHA4_589_601","MTVC.ds50.LogFC",
"Control","EPHA4_589_601","MTVC.ds50.LogFC",
"Control","EPHA4_589_601","MTVC.ds50.LogFC",
"Control","EPHA4_589_601","MTVC.ds50.LogFC",
"Control","EPHA4_589_601","MTVC.ds50.pvalue.treatment",
"Control","EPHA4_589_601","MTVC.ds50.pvalue.treatment",
"Control","EPHA4_589_601","MTVC.ds50.pvalue.treatment",
"Control","EPHA4_589_601","MTVC.ds50.pvalue.treatment",
"Control","EPHA4_589_601","MTVC.ds50.pvalue.treatment",
"Control","EPHA4_589_601","MTVC.ds50.pvalue.treatment",
"Control","EPHA7_607_619","MTVC.ds50.LogFC",
"Control","EPHA7_607_619","MTVC.ds50.LogFC",
"Control","EPHA7_607_619","MTVC.ds50.LogFC",
"Control","EPHA7_607_619","MTVC.ds50.LogFC",
"Control","EPHA7_607_619","MTVC.ds50.LogFC",
"Control","EPHA7_607_619","MTVC.ds50.LogFC",
"Control","EPHA7_607_619","MTVC.ds50.pvalue.treatment",
"Control","EPHA7_607_619","MTVC.ds50.pvalue.treatment",
"Control","EPHA7_607_619","MTVC.ds50.pvalue.treatment",
"Control","EPHA7_607_619","MTVC.ds50.pvalue.treatment",
"Control","EPHA7_607_619","MTVC.ds50.pvalue.treatment",
"Control","EPHA7_607_619","MTVC.ds50.pvalue.treatment",
"Control","EPHB1_771_783","MTVC.ds50.LogFC",
"Control","EPHB1_771_783","MTVC.ds50.LogFC",
"Control","EPHB1_771_783","MTVC.ds50.LogFC",
"Control","EPHB1_771_783","MTVC.ds50.LogFC",
"Control","EPHB1_771_783","MTVC.ds50.LogFC",
"Control","EPHB1_771_783","MTVC.ds50.LogFC",
"Control","EPHB1_771_783","MTVC.ds50.pvalue.treatment",
"Control","EPHB1_771_783","MTVC.ds50.pvalue.treatment",
"Control","EPHB1_771_783","MTVC.ds50.pvalue.treatment",
"Control","EPHB1_771_783","MTVC.ds50.pvalue.treatment",
"Control","EPHB1_771_783","MTVC.ds50.pvalue.treatment",
"Control","EPHB1_771_783","MTVC.ds50.pvalue.treatment",
"Control","EPHB4_583_595","MTVC.ds50.LogFC",
"Control","EPHB4_583_595","MTVC.ds50.LogFC",
"Control","EPHB4_583_595","MTVC.ds50.LogFC",
"Control","EPHB4_583_595","MTVC.ds50.LogFC",
"Control","EPHB4_583_595","MTVC.ds50.LogFC",
"Control","EPHB4_583_595","MTVC.ds50.LogFC",
"Control","EPHB4_583_595","MTVC.ds50.pvalue.treatment",
"Control","EPHB4_583_595","MTVC.ds50.pvalue.treatment",
"Control","EPHB4_583_595","MTVC.ds50.pvalue.treatment",
"Control","EPHB4_583_595","MTVC.ds50.pvalue.treatment",
"Control","EPHB4_583_595","MTVC.ds50.pvalue.treatment",
"Control","EPHB4_583_595","MTVC.ds50.pvalue.treatment",
"Control","EPOR_361_373","MTVC.ds50.LogFC",
"Control","EPOR_361_373","MTVC.ds50.LogFC",
"Control","EPOR_361_373","MTVC.ds50.LogFC",
"Control","EPOR_361_373","MTVC.ds50.LogFC",
"Control","EPOR_361_373","MTVC.ds50.LogFC",
"Control","EPOR_361_373","MTVC.ds50.LogFC",
"Control","EPOR_361_373","MTVC.ds50.pvalue.treatment",
"Control","EPOR_361_373","MTVC.ds50.pvalue.treatment",
"Control","EPOR_361_373","MTVC.ds50.pvalue.treatment",
"Control","EPOR_361_373","MTVC.ds50.pvalue.treatment",
"Control","EPOR_361_373","MTVC.ds50.pvalue.treatment",
"Control","EPOR_361_373","MTVC.ds50.pvalue.treatment",
"Control","EPOR_419_431","MTVC.ds50.LogFC",
"Control","EPOR_419_431","MTVC.ds50.LogFC",
"Control","EPOR_419_431","MTVC.ds50.LogFC",
"Control","EPOR_419_431","MTVC.ds50.LogFC",
"Control","EPOR_419_431","MTVC.ds50.LogFC",
"Control","EPOR_419_431","MTVC.ds50.LogFC",
"Control","EPOR_419_431","MTVC.ds50.pvalue.treatment",
"Control","EPOR_419_431","MTVC.ds50.pvalue.treatment",
"Control","EPOR_419_431","MTVC.ds50.pvalue.treatment",
"Control","EPOR_419_431","MTVC.ds50.pvalue.treatment",
"Control","EPOR_419_431","MTVC.ds50.pvalue.treatment",
"Control","EPOR_419_431","MTVC.ds50.pvalue.treatment",
"Control","FAK1_569_581","MTVC.ds50.LogFC",
"Control","FAK1_569_581","MTVC.ds50.LogFC",
"Control","FAK1_569_581","MTVC.ds50.LogFC",
"Control","FAK1_569_581","MTVC.ds50.LogFC",
"Control","FAK1_569_581","MTVC.ds50.LogFC",
"Control","FAK1_569_581","MTVC.ds50.LogFC",
"Control","FAK1_569_581","MTVC.ds50.pvalue.treatment",
"Control","FAK1_569_581","MTVC.ds50.pvalue.treatment",
"Control","FAK1_569_581","MTVC.ds50.pvalue.treatment",
"Control","FAK1_569_581","MTVC.ds50.pvalue.treatment",
"Control","FAK1_569_581","MTVC.ds50.pvalue.treatment",
"Control","FAK1_569_581","MTVC.ds50.pvalue.treatment",
"Control","FAK2_572_584","MTVC.ds50.LogFC",
"Control","FAK2_572_584","MTVC.ds50.LogFC",
"Control","FAK2_572_584","MTVC.ds50.LogFC",
"Control","FAK2_572_584","MTVC.ds50.LogFC",
"Control","FAK2_572_584","MTVC.ds50.LogFC",
"Control","FAK2_572_584","MTVC.ds50.LogFC",
"Control","FAK2_572_584","MTVC.ds50.pvalue.treatment",
"Control","FAK2_572_584","MTVC.ds50.pvalue.treatment",
"Control","FAK2_572_584","MTVC.ds50.pvalue.treatment",
"Control","FAK2_572_584","MTVC.ds50.pvalue.treatment",
"Control","FAK2_572_584","MTVC.ds50.pvalue.treatment",
"Control","FAK2_572_584","MTVC.ds50.pvalue.treatment",
"Control","FER_707_719","MTVC.ds50.LogFC",
"Control","FER_707_719","MTVC.ds50.LogFC",
"Control","FER_707_719","MTVC.ds50.LogFC",
"Control","FER_707_719","MTVC.ds50.LogFC",
"Control","FER_707_719","MTVC.ds50.LogFC",
"Control","FER_707_719","MTVC.ds50.LogFC",
"Control","FER_707_719","MTVC.ds50.pvalue.treatment",
"Control","FER_707_719","MTVC.ds50.pvalue.treatment",
"Control","FER_707_719","MTVC.ds50.pvalue.treatment",
"Control","FER_707_719","MTVC.ds50.pvalue.treatment",
"Control","FER_707_719","MTVC.ds50.pvalue.treatment",
"Control","FER_707_719","MTVC.ds50.pvalue.treatment",
"Control","FES_706_718","MTVC.ds50.LogFC",
"Control","FES_706_718","MTVC.ds50.LogFC",
"Control","FES_706_718","MTVC.ds50.LogFC",
"Control","FES_706_718","MTVC.ds50.LogFC",
"Control","FES_706_718","MTVC.ds50.LogFC",
"Control","FES_706_718","MTVC.ds50.LogFC",
"Control","FES_706_718","MTVC.ds50.pvalue.treatment",
"Control","FES_706_718","MTVC.ds50.pvalue.treatment",
"Control","FES_706_718","MTVC.ds50.pvalue.treatment",
"Control","FES_706_718","MTVC.ds50.pvalue.treatment",
"Control","FES_706_718","MTVC.ds50.pvalue.treatment",
"Control","FES_706_718","MTVC.ds50.pvalue.treatment",
"Control","FRK_380_392","MTVC.ds50.LogFC",
"Control","FRK_380_392","MTVC.ds50.LogFC",
"Control","FRK_380_392","MTVC.ds50.LogFC",
"Control","FRK_380_392","MTVC.ds50.LogFC",
"Control","FRK_380_392","MTVC.ds50.LogFC",
"Control","FRK_380_392","MTVC.ds50.LogFC",
"Control","FRK_380_392","MTVC.ds50.pvalue.treatment",
