Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q9UBS0	p70S6K[beta]	AGC	RSK	2.24572764366406	0.130324419077404	2.37605206274146	2.48945498979339	0.122698376118404	0.132849299945358	0.0245584980404057	19.1111111111111
P51817	PRKX	AGC	PKA	2.17552214786852	0.111394113571456	2.28691626143998	2.33761997998375	0.0995729792216142	0.0995676059240593	0.0112992092876314	25.3333333333333
Q96GD4	AurB/Aur1	Other	AUR	2.10623281883642	0.327018730257675	2.4332515490941	2.27408836770495	-0.249572280636361	-0.223877544662193	0.0509864110433361	3.77777777777778
P31749	Akt1/PKB[alpha]	AGC	AKT	1.80505733329453	0.117503500947494	1.92256083424203	2.11125903931711	0.101759510592741	0.106296350892616	0.017796020015732	20.3333333333333
P31751	Akt2/PKB[beta]	AGC	AKT	1.73766373711601	0.117809466073275	1.85547320318929	1.79188125926172	0.102098385316401	0.101454991336386	0.0131188066657156	20
Q8NI60	ADCK3	Atypical	ABC1	1.545329170944	0.208431114392489	1.75376028533649	1.75905158396696	-0.173150919697882	-0.153740155000271	0.0528032938453801	5.33333333333333
P50750	CDK9	CMGC	CDK	1.45533731131911	0.211514615265514	1.66685192658462	1.65268653554672	-0.208647283318961	-0.208647283318961	0	3
Q13237	PKG2	AGC	PKG	1.6131917908162	0.0877809020836455	1.70097269289985	1.56237625700294	0.0804263516345625	0.0809836926827844	0.0130107455864949	28.6666666666667
O14757	CHK1	CAMK	CAMKL	1.34994780453541	0.187563830615155	1.53751163515056	1.47521455067878	-0.161514747930067	-0.155626864676937	0.0435606179294044	5
Q00537	PCTAIRE2	CMGC	CDK	1.20760831050175	0.211831628858832	1.41943993936058	1.41943993936058	-0.186991361304444	-0.186991361304444	NA	3
Q13464	ROCK1	AGC	DMPK	1.1115042075718	0.206229822049189	1.31773402962099	1.31773402962099	-0.182126883453159	-0.182126883453159	0	3
O43930	PRKY	AGC	PKA	1.07639388592406	0.140795646499674	1.21718953242374	1.29171510377524	0.135037698668093	0.126392042741927	0.0459724743290628	7.11111111111111
